Lien,Numéro Brevet,Titre,Date de publication,Mots-clés,Description,Domaine Technologique,Inventeurs,Titulaire du brevet,Statut du brevet
https://patents.google.com/patent/US10318761B2,US10318761B2,Data processing systems and methods for auditing data request compliance,2018-08-20,"privacy, management, system, is, configured, process, one","
     A privacy management system that is configured to process one or more data subject access requests and further configured to: (1) enable a data protection officer to submit an audit request; (2) perform an audit based on one or more parameters provided as part of the request (e.g., one or more parameters such as how long an average request takes to fulfill, one or more parameters related to logging and/or tracking data subject access requests and/or complaints from one or more particular customer advocacy groups, individuals, NGOs, etc.); and (3) provide one or more audit results to the officer (e.g., by displaying the results on a suitable display screen). 
   
   ",Intelligence Artificielle,"Kabir A. Barday, Jonathan Blake Brannon, Jason L. Sabourin, Mihir S. Karanjkar, Kevin Jones, Richard A. Beaumont",OneTrust LLC,Active
https://patents.google.com/patent/US10318769B2,US10318769B2,Wireless tag apparatus and related methods,2018-11-02,"An, asset, tag, apparatus, methods, monitoring, assets, with","
     An asset tag apparatus and methods of monitoring assets with an asset tag are provided. The asset tag apparatus includes a housing and a wireless transmitter located within the housing. A processor is located within the housing, wherein the processor is in communication with the wireless transmitter. An accelerometer is positioned within the housing, wherein the accelerometer is in communication with the processor, wherein a wake-up signal is transmitted from the accelerometer to the processor in response to an activation of the accelerometer, and wherein the wireless transmitter transmits a signal externally from the housing in response to the wake-up signal received by the processor. 
   
   ",Télécommunications,"Robert W. Sengstaken, Jr.",Vypin LLC,Active
https://patents.google.com/patent/US10318770B2,US10318770B2,RFID error detection systems and methods,2018-05-18,"some, embodiments,, systems, methods, are, provided, herein","
     In some embodiments, systems and methods are provided herein to improve RFID tag reading. Some embodiments provide retail RFID tag exclusion systems that comprise: a set of RFID antennas; an RFID criteria database of sets of RFID tag read criteria; and an RFID evaluation control circuit configured to: access a set of current tag read criteria associated with an RFID tag; access multiple sets of previous tag read criteria; access and apply a set of tag evaluation rules and identify when a threshold number of the set of current tag read criteria are each within corresponding criteria thresholds of a corresponding previous tag read criterion of a previous set of tag read criteria; and exclude the RFID tag when the threshold number of the current tag read criteria are within the corresponding criteria thresholds of the corresponding previous tag read criterion of the set of previous tag read criteria. 
   
   ",Intelligence Artificielle,"Nicholaus A. Jones, Matthew A. Jones, Aaron J. Vasgaard",Walmart Apollo LLC,Active
https://patents.google.com/patent/US10318771B2,US10318771B2,Inventory assistance device and method,2016-05-03,"system, comprises, two, or, more, item, storage, bins,, each","
     A system comprises two or more item storage bins, each item storage bin comprising: a wireless communication tag emitting a wireless signal having data identifying the item storage bin on which the wireless communication tag is positioned, and an indicator activated by receiving a feedback signal identifying the item storage bin on which the indicator is positioned; and a personal device comprising: a wireless communicator configured to communicate with the wireless communication tags, and a controller coupled to the wireless communicator and configured to identify one of the item storage bins from the wireless signal, and in response to identifying the one item storage bin, sending the feedback signal through the wireless communicator to the indicator. 
   
   ",Télécommunications,Michael Hansen,Intermec IP Corp,"Active, expires 2034-05-15"
https://patents.google.com/patent/US10318773B2,US10318773B2,Event RFID timing system and method having integrated participant event location tracking,2018-07-31,"system, method, for, determining, tracking, location","
     A system and method for determining and tracking a location of a participant traveling along a route wherein the participant being tracked with an RFID tag using an RFID tag reader and a timing system, the system includes a location device associated with the RFID tag and has a location data receiver for receiving location information from a location providing source, and a wireless communication interface and time stamps each received location information, and transmits tag location data over the wireless interface, and a location detection device that is in wireless communication with the location device receives the transmitted tag location data, and transmits the received location data to the timing system, with the timing system associating the received location data with the RFID tag number as provided by the RFID tag reader provided tag reads of the RFID tag associated with the location device. 
   
   ",Intelligence Artificielle,Kurt S. Hansen,Innovative Timing Systems LLC,Active
https://patents.google.com/patent/US10318774B2,US10318774B2,"Housing, housing unit, and casing unit",2017-10-10,"housing, includes, first, tubular, portion, being, tubular,, arranged","
     A housing includes a first tubular portion being tubular, arranged to extend along a central axis extending in a vertical direction, and having a first cavity defined radially inside of the first tubular portion; and a second tubular portion being tubular, connected to a lower portion of the first tubular portion directly or indirectly, and having a second cavity defined radially inside of the second tubular portion. The first cavity is arranged to define a light path along which the incoming light travels, and is connected to the second cavity. The second tubular portion is arranged to house at least a portion of the optical component therein. The first and second tubular portions are defined by a single monolithic member. 
   
   ",Intelligence Artificielle,Yoichi Sekii,Nidec Corp,Expired - Fee Related
https://patents.google.com/patent/US10318775B2,US10318775B2,Authenticable digital code and associated systems and methods,2017-06-22,"An, authenticable, digital, code, includes, printable, medium,, machine-readable","
     An authenticable digital code includes a printable medium, a machine-readable digital code, formed on the printable medium, that graphically represent information, and at least one security signature positioned relative to the machine-readable digital code. The security signature includes a fluorescent material that, when excited by light of a first wavelength, fluoresces and emits light at a second wavelength that is different from the first wave length. Authenticity of the authenticable digital code is determined by detecting, when the authenticable digital code is illuminated by light of the first wavelength, light of the second wavelength at a position relative to the machine-readable digital code. 
   
   ",Intelligence Artificielle,"David C. McCloskey, John Robert Blakely, Stanley R. James",Authentic Labs,Active
https://patents.google.com/patent/US10318776B2,US10318776B2,Barcode-reading system that uses characteristics of a captured image to verify license entitlement,2017-02-15,"barcode-reading, system, for, mobile, device, may, include","
     A barcode-reading system for a mobile device may include a camera assembly. The barcode-reading system may include a barcode-reading enhancement accessory and a barcode-reading application. The barcode-reading enhancement accessory may be securable to the mobile device and may be configured to provide an indication of license entitlement in a field of view of the camera assembly. The barcode-reading application may be stored in memory of the mobile device and executable by a processor of the mobile device. The barcode-reading application may also be configured to enable an enhanced mode of operation of the barcode-reading application conditional upon determining that an image captured by the camera assembly includes the indication of license entitlement. 
   
   ",Autre,"George Powell, Ryan Hoobler",Code Corp,Active
https://patents.google.com/patent/US10318777B2,US10318777B2,Target options for a data capture device with intuitive aiming involving specular objects,2018-05-16,"presentation, scanner, allows, an, operator, easily, place, an","
     A presentation scanner allows an operator to easily place an object being scanned within the scanner's field of view in order to enhance usability of the scanner. A partially transmitting and partially reflecting surface, like a mirror, is used. An aiming pattern or target indicator is projected from an aiming source to the surface. The aiming pattern or target indicator is seen by an operator who aligns the object, which is reflected from the surface back to the operator, to be placed over or within the aiming pattern that appears at the surface. Once aligned, a camera captures the image of the optical code. 
   
   ",Intelligence Artificielle,Alexander M. McQueen,Datalogic USA Inc,Active
https://patents.google.com/patent/US10318778B2,US10318778B2,Reducing perceived brightness of illumination light source in electro-optical readers that illuminate and read targets by image capture,2012-11-15,"Targets, electro-optically, read, by, image, capture, are, illuminated","
     Targets to be electro-optically read by image capture are illuminated with illumination light emitted from an illumination light source and directed along an illumination path through a window to the targets, and return light from the targets is captured through the window and projected along an imaging path to an array of light sensors of an imaging system. An optical element is located in both the illumination path and the imaging path, and has a light-reflecting, non-diffusing portion for directing the captured return light incident on the light-reflecting portion along a folded imaging path to the array, and a light-diffusing portion for diffusing the illumination light incident on the light-diffusing portion along a folded illumination path to scatter and blur an image of the illumination light source, to increase an apparent size of the illumination light source, and to reduce a perceived brightness of the illumination light source. 
   
   ",Autre,"Igor R. Vinogradov, Rong Liu, Yuly Mitelman, Eric S. Trongone",Symbol Technologies LLC,"Active, expires 2035-01-20"
